model_tag,method,tier,metric,mean,ci_low,ci_high,n
mistral7b_v03,conflict_audit,all,OSR,0.647375,0.636875,0.657625,8000
mistral7b_v03,conflict_audit,all,POR_C,0.574468085106383,0.5593765462642256,0.5895596239485403,4042
mistral7b_v03,conflict_audit,all,POR_NC,1.0,1.0,1.0,1137
mistral7b_v03,conflict_audit,all,HHR,1.0,1.0,1.0,1683
mistral7b_v03,conflict_audit,all,RSR,0.0,0.0,0.0,1683
mistral7b_v03,conflict_audit,all,PSR,1.0,1.0,1.0,2258
mistral7b_v03,conflict_audit,tier1,OSR,0.6745833333333333,0.66375,0.6855555555555556,7200
mistral7b_v03,conflict_audit,tier1,POR_C,0.5801075268817204,0.564247311827957,0.5956989247311828,3720
mistral7b_v03,conflict_audit,tier1,POR_NC,1.0,1.0,1.0,1137
mistral7b_v03,conflict_audit,tier1,HHR,1.0,1.0,1.0,1562
mistral7b_v03,conflict_audit,tier1,RSR,0.0,0.0,0.0,1562
mistral7b_v03,conflict_audit,tier1,PSR,1.0,1.0,1.0,2135
mistral7b_v03,conflict_audit,tier2_llmbar,OSR,0.4025,0.36875,0.43625,800
mistral7b_v03,conflict_audit,tier2_llmbar,POR_C,0.5093167701863354,0.453416149068323,0.5652173913043478,322
mistral7b_v03,conflict_audit,tier2_llmbar,POR_NC,,,,0
mistral7b_v03,conflict_audit,tier2_llmbar,HHR,1.0,1.0,1.0,121
mistral7b_v03,conflict_audit,tier2_llmbar,RSR,0.0,0.0,0.0,121
mistral7b_v03,conflict_audit,tier2_llmbar,PSR,1.0,1.0,1.0,123
mistral7b_v03,context_forward,all,OSR,0.581,0.566,0.59625,4000
mistral7b_v03,context_forward,all,POR_C,0.7301038062283737,0.7093425605536332,0.7508650519031141,1734
mistral7b_v03,context_forward,all,POR_NC,1.0,1.0,1.0,590
mistral7b_v03,context_forward,all,HHR,0.9977477477477478,0.9932432432432432,1.0,444
mistral7b_v03,context_forward,all,RSR,0.0022522522522522522,0.0,0.006756756756756757,444
mistral7b_v03,context_forward,all,PSR,,,,0
mistral7b_v03,context_forward,tier1,OSR,0.5936111111111111,0.5775,0.6097222222222223,3600
mistral7b_v03,context_forward,tier1,POR_C,0.755656108597285,0.7343244990303813,0.7769877181641888,1547
mistral7b_v03,context_forward,tier1,POR_NC,1.0,1.0,1.0,590
mistral7b_v03,context_forward,tier1,HHR,1.0,1.0,1.0,378
mistral7b_v03,context_forward,tier1,RSR,0.0,0.0,0.0,378
mistral7b_v03,context_forward,tier1,PSR,,,,0
mistral7b_v03,context_forward,tier2_llmbar,OSR,0.4675,0.42,0.5175,400
mistral7b_v03,context_forward,tier2_llmbar,POR_C,0.5187165775401069,0.44919786096256686,0.5882352941176471,187
mistral7b_v03,context_forward,tier2_llmbar,POR_NC,,,,0
mistral7b_v03,context_forward,tier2_llmbar,HHR,0.9848484848484849,0.9545454545454546,1.0,66
mistral7b_v03,context_forward,tier2_llmbar,RSR,0.015151515151515152,0.0,0.045454545454545456,66
mistral7b_v03,context_forward,tier2_llmbar,PSR,,,,0
mistral7b_v03,decomposed,all,OSR,0.5815,0.5665,0.59675,4000
mistral7b_v03,decomposed,all,POR_C,0.7304147465437788,0.7096774193548387,0.7511520737327189,1736
mistral7b_v03,decomposed,all,POR_NC,1.0,1.0,1.0,590
mistral7b_v03,decomposed,all,HHR,0.9977477477477478,0.9932432432432432,1.0,444
mistral7b_v03,decomposed,all,RSR,0.0022522522522522522,0.0,0.006756756756756757,444
mistral7b_v03,decomposed,all,PSR,,,,0
mistral7b_v03,decomposed,tier1,OSR,0.5936111111111111,0.5775,0.6097222222222223,3600
mistral7b_v03,decomposed,tier1,POR_C,0.755656108597285,0.7343244990303813,0.7769877181641888,1547
mistral7b_v03,decomposed,tier1,POR_NC,1.0,1.0,1.0,590
mistral7b_v03,decomposed,tier1,HHR,1.0,1.0,1.0,378
mistral7b_v03,decomposed,tier1,RSR,0.0,0.0,0.0,378
mistral7b_v03,decomposed,tier1,PSR,,,,0
mistral7b_v03,decomposed,tier2_llmbar,OSR,0.4725,0.4225,0.5225,400
mistral7b_v03,decomposed,tier2_llmbar,POR_C,0.5238095238095238,0.4497354497354497,0.5978835978835979,189
mistral7b_v03,decomposed,tier2_llmbar,POR_NC,,,,0
mistral7b_v03,decomposed,tier2_llmbar,HHR,0.9848484848484849,0.9545454545454546,1.0,66
mistral7b_v03,decomposed,tier2_llmbar,RSR,0.015151515151515152,0.0,0.045454545454545456,66
mistral7b_v03,decomposed,tier2_llmbar,PSR,,,,0
